backend,seed,inter_node_distance_km,database_size_log,num_nodes,query_id,src,dst,hop_distance,success,failure_reason,tts_ms,fidelity,pair_arrival_ms
odo,42,10.0,10,25,19,router_16,router_12,3,True,,1034.15132501,0.911603370170184,12.660;53.601;80.071;96.261;109.451;121.361;129.302;136.062;163.502;182.612;188.763;197.913;225.813;236.463;264.364;300.874;355.025;369.716;378.786;390.696;415.886;738.747;756.147;765.587;795.498;803.208;821.358;839.798;855.019;868.129;877.569;891.279;896.969;910.080;935.730;938.640;945.150;967.801;971.701;996.891;1015.711;1034.151
odo,42,10.0,10,25,20,router_16,router_12,3,True,,1181.23443751,0.9096290818794127,25.410;38.601;61.911;72.851;89.571;109.222;118.132;140.782;149.472;158.983;177.423;197.133;202.823;236.934;248.334;267.235;279.675;288.145;338.086;358.996;379.306;697.217;708.467;737.867;779.268;788.708;813.899;847.719;856.869;927.520;951.961;968.901;995.231;1028.382;1048.692;1062.402;1087.513;1091.703;1138.274;1154.174;1163.084;1181.234
odo,42,10.0,10,25,27,router_18,router_12,5,True,,1581.88795001,0.8349579573341535,17.790;40.281;90.781;104.271;126.032;153.322;171.713;208.663;216.253;253.154;277.874;281.264;344.415;358.066;369.614;387.735;410.925;453.316;545.717;566.508;595.908;1034.849;1068.749;1096.640;1115.030;1148.181;1192.702;1236.892;1256.543;1279.193;1304.784;1353.675;1365.225;1387.115;1413.306;1430.706;1451.106;1460.996;1485.387;1517.308;1548.628;1581.888
odo,42,10.0,10,25,28,router_18,router_12,5,True,,1391.62447501,0.8383273643524234,9.390;37.441;67.131;87.481;113.332;150.182;177.472;194.062;209.963;229.283;241.003;257.053;264.104;281.894;298.604;313.294;332.344;349.435;358.825;385.275;413.596;833.876;849.867;880.257;894.447;953.098;986.489;1003.889;1030.290;1049.880;1095.001;1146.722;1189.132;1202.022;1241.313;1266.363;1298.713;1315.903;1340.294;1356.884;1372.034;1391.624
odo,42,10.0,10,25,29,router_18,router_12,5,True,,1477.01787501,0.8364541282498363,14.940;30.061;49.651;60.301;71.991;87.712;167.683;186.733;229.024;299.615;315.516;327.806;363.496;389.087;409.487;452.978;467.498;500.289;529.690;545.590;567.580;990.261;1008.051;1035.772;1061.692;1097.142;1126.832;1155.153;1165.143;1196.283;1203.273;1237.594;1244.584;1265.874;1292.425;1319.515;1357.436;1374.026;1389.176;1427.577;1451.697;1477.018
odo,42,10.0,10,25,0,router_21,router_12,4,True,,1367.11631251,0.8735041806993082,18.360;29.310;62.451;86.811;103.912;125.812;141.702;156.313;190.813;214.204;243.914;266.854;283.055;301.815;320.926;365.316;383.457;405.657;448.768;470.878;516.259;877.869;886.569;911.459;937.480;962.380;1010.521;1022.221;1049.361;1088.812;1115.582;1131.693;1141.803;1178.783;1184.173;1202.544;1220.684;1242.044;1270.905;1301.795;1339.216;1367.116
odo,42,10.0,10,25,1,router_21,router_12,4,True,,1338.03363751,0.8742939278347518,26.311;40.921;63.781;87.391;119.032;162.673;174.283;182.143;212.283;248.654;262.294;278.404;307.795;336.655;363.356;386.235;432.436;452.387;468.587;504.197;526.308;908.168;946.029;966.669;976.869;992.319;1014.519;1024.479;1074.970;1102.240;1119.630;1137.771;1180.221;1190.862;1211.562;1218.982;1234.122;1244.982;1277.463;1306.323;1331.214;1338.034
odo,42,10.0,10,25,2,router_21,router_12,4,True,,1278.70321251,0.8749318008333791,19.110;33.660;66.271;99.411;138.552;150.172;162.552;171.832;192.403;206.793;222.993;247.134;264.744;290.604;306.505;330.975;360.206;366.566;386.066;407.366;426.477;793.337;820.037;838.188;854.688;892.548;937.689;965.050;999.910;1030.980;1048.590;1069.970;1083.610;1105.721;1132.201;1152.901;1174.262;1182.142;1194.282;1216.702;1252.313;1278.703
acp_m6,42,10.0,10,25,6,router_1,router_12,3,True,,928.31057501,0.9092952604328234,24.660;35.310;48.501;74.811;95.502;116.642;125.332;134.842;147.352;155.293;163.603;205.293;211.813;223.663;246.974;251.084;254.594;264.944;280.455;286.895;308.405;641.916;658.626;665.516;673.836;689.436;697.827;718.137;739.577;759.288;766.998;774.108;785.208;793.518;814.959;832.429;842.329;851.179;869.690;885.800;910.400;928.311
acp_m6,42,10.0,10,25,7,router_1,router_12,3,True,,603.85407501,0.9107082624817165,6.660;11.760;17.910;27.510;36.650;48.361;59.001;91.391;117.782;125.422;128.112;138.302;139.712;152.152;159.122;171.332;176.722;178.432;182.032;189.443;195.293;496.853;501.793;505.983;515.123;520.513;521.923;526.863;529.723;531.133;535.483;543.873;545.513;549.923;563.574;565.964;572.854;583.794;589.934;598.324;601.464;603.854
