backend,seed,inter_node_distance_km,database_size_log,num_nodes,query_id,src,dst,hop_distance,success,failure_reason,tts_ms,fidelity,pair_arrival_ms
acp_m6,42,20.0,5,25,13,router_7,router_12,3,True,,685.60398751,0.9044310440443769,11.560;45.121;60.681;82.921;90.841;122.401;128.201;131.001;164.042;174.762;184.602;487.762;506.562;548.362;557.403;569.323;586.363;621.003;624.843;648.284;654.164;685.604
acp_m6,42,20.0,5,25,14,router_7,router_12,3,True,,641.56382501,0.8969712458671697,21.760;121.161;127.361;133.162;141.802;148.442;157.002;161.202;169.362;192.562;209.362;511.522;525.723;530.283;537.483;574.283;578.083;592.883;595.043;629.244;631.404;641.564
acp_m6,42,20.0,5,25,15,router_8,router_12,5,True,,876.36435001,0.8295601937033679,27.840;49.040;62.161;94.881;111.601;140.321;160.121;184.922;190.322;200.762;222.002;648.842;664.643;693.043;713.483;742.284;793.404;804.524;826.645;834.324;839.964;876.364
acp_m6,42,20.0,5,25,16,router_8,router_12,5,True,,1125.16773751,0.8205403333403745,30.040;69.441;104.241;136.961;181.682;221.242;234.362;269.883;286.282;299.483;316.083;752.323;784.444;815.564;832.684;950.606;1001.806;1041.447;1053.247;1073.487;1095.327;1125.168
acp_m6,42,20.0,5,25,17,router_8,router_12,5,True,,945.36586251,0.8280776810356187,23.840;108.041;146.242;171.442;201.562;209.683;220.082;270.323;305.044;325.164;334.604;745.284;752.004;769.684;787.844;823.045;876.765;880.605;895.725;900.846;921.206;945.366
acp_m6,42,20.0,5,25,9,router_11,router_12,1,True,,324.40183751,0.9895595638118657,4.800;10.000;12.800;22.400;23.600;26.800;29.200;32.400;44.401;48.801;80.401;280.801;284.401;287.201;293.201;297.601;298.001;302.402;303.602;306.802;308.802;324.402
acp_m6,42,20.0,5,25,10,router_11,router_12,1,True,,446.80378751,0.9882154266111765,3.200;19.200;37.201;84.401;110.802;115.202;116.802;117.602;127.202;128.402;156.402;356.802;361.602;362.002;379.603;400.403;407.603;414.003;414.403;427.604;442.404;446.804
acp_m6,42,20.0,5,25,11,router_11,router_12,1,True,,313.60167501,0.9888579844032725,18.400;26.000;32.800;40.401;41.601;46.801;60.001;61.201;64.801;68.401;71.201;271.601;272.001;275.601;277.601;280.801;282.001;282.801;284.401;288.801;294.001;313.602
acp_m6,42,20.0,5,25,3,router_13,router_12,5,True,,970.32755001,0.8313494980142411,22.240;37.480;58.201;71.841;107.081;142.322;218.523;257.363;277.404;288.244;309.884;759.525;768.645;831.886;841.926;876.646;899.887;905.527;917.007;930.647;963.087;970.328
acp_m6,42,20.0,5,25,4,router_13,router_12,5,True,,1141.60863751,0.8133804267991143,36.680;62.801;82.521;147.722;215.923;266.123;300.324;329.524;338.724;482.926;486.566;916.806;963.007;971.727;983.847;992.567;1035.248;1076.368;1091.488;1119.128;1123.568;1141.609
